Year,Month,Reporter,Trade Direction,Trade Partner,HS2 Code,HS2 Description,HS4 Code,HS4 Description,HS6 Code,HS6 Description,Tariff Line Code,Tariff Line Description,USD,Primary Quantity,Unit Price,Primary Units
2019,1,Norway,Import,United Kingdom,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035401,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",2871072.83,1733533,1.66,KG
2019,4,Norway,Import,United Kingdom,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035401,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",1869.59,1000,1.87,KG
2019,8,Norway,Import,Denmark,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035402,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",1460.87,200,7.3,KG
2017,1,Norway,Import,United Kingdom,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035402,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",322.34,63,5.12,KG
2017,5,Norway,Import,United Kingdom,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035402,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",210.32,42,5.01,KG
2018,2,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035403,"Subgroup Of: 030354 Frozen Mackerel £Scomber Scombrus, Scomber Australasicus, Scomber Japonicus£",1403.93,460,3.05,KG
2018,4,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035403,"Subgroup Of: 030354 Frozen Mackerel £Scomber Scombrus, Scomber Australasicus, Scomber Japonicus£",623.03,200,3.12,KG
2018,6,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035403,"Subgroup Of: 030354 Frozen Mackerel £Scomber Scombrus, Scomber Australasicus, Scomber Japonicus£",964.32,376,2.56,KG
2018,8,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035403,"Subgroup Of: 030354 Frozen Mackerel £Scomber Scombrus, Scomber Australasicus, Scomber Japonicus£",1108.78,400,2.77,KG
2018,10,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035403,"Subgroup Of: 030354 Frozen Mackerel £Scomber Scombrus, Scomber Australasicus, Scomber Japonicus£",582.59,200,2.91,KG
2018,12,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035403,"Subgroup Of: 030354 Frozen Mackerel £Scomber Scombrus, Scomber Australasicus, Scomber Japonicus£",298.85,100,2.99,KG
2018,3,Norway,Import,Faroe Islands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035404,"Subgroup Of: 030354 Frozen Mackerel £Scomber Scombrus, Scomber Australasicus, Scomber Japonicus£",713.11,220,3.24,KG
2018,3,Norway,Import,Ireland,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035404,"Subgroup Of: 030354 Frozen Mackerel £Scomber Scombrus, Scomber Australasicus, Scomber Japonicus£",457.77,200,2.29,KG
2018,3,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035404,"Subgroup Of: 030354 Frozen Mackerel £Scomber Scombrus, Scomber Australasicus, Scomber Japonicus£",37519.88,21563,1.74,KG
2001,11,Norway,Import,Belgium,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30374,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Excluding Fillets, Livers And Roes, Frozen",3037401,Of A Weight Less Than 600 Grammes,503.05,92,5.47,KG
